Top ten countries by social media penetration;percentage
UAE;99%
South Korea;89.3%
Taiwan;88.1%
Netherlands;88%
Malaysia;86%
Hong Kong;85.6%
Canada;84.9%
Singapore;84.4%
Denmark;83.6%
Sweden;82.1%
